common_name,scientific_name,family,growth_habit,basis_of_record,source,collector_observer,date,locality,longitude,latitude,coordinate_uncertainty_m,additional_information,image,link,additional_link,marker_color,additional_notes,original_marker_number
"heart-leaved willow, Missouri River willow",Salix eriocephala,Salicaceae,deciduous shrub/tree,preserved specimen,University of Connecticut George Safford Torrey Herbarium,Harry E. Ahles,"April 21, 1979","Hockanum Meadows, Northampton",-72.63333,42.29166,20000,Heart-leaved willow is a host for caterpillars of the Mourning Cloak butterfly.,,https://www.gbif.org/occurrence/768793036,,#ffae4f,,89
crack willow,Salix fragilis,Salicaceae,deciduous tree,preserved specimen,University of Connecticut George Safford Torrey Herbarium,Harry E. Ahles,"May 5, 1979","LaFleur Airport, east end.",-72.61138,42.32777,5000,Crack willow can reproduce from broken twigs taking root.,,https://www.gbif.org/occurrence/768793196,,#ffae4f,,88
bloodroot,Sanguinaria canadensis,Papaveraceae,herbaceous perennial,human observation,iNaturalist,lomastomas,"April 28, 2016",,-72.649988,42.316163,30,"The common name derives from the fact that it exudes a bright reddish-orange sap when cut. The flowers open up in sun but close at night, and only last for 1-2 days. The leaves and rhizomes are toxic.",,http://www.inaturalist.org/observations/3048403,,#ffae4f,,67
bloodroot,Sanguinaria canadensis,Papaveraceae,herbaceous perennial,human observation,iNaturalist,River Bissonnette,"April 28, 2015",,-72.654766,42.318337,10,"The common name derives from the fact that it exudes a bright reddish-orange sap when cut. The flowers open up in sun but close at night, and only last for 1-2 days. The leaves and rhizomes are toxic.",,http://www.inaturalist.org/observations/1434195,,#ffae4f,,71
purple crownvetch,Securigera varia,Fabaceae,herbaceous perennial,human observation,iNaturalist,mikeakresh,"August 27, 2017",,-72.627838,42.284588,,,,https://www.inaturalist.org/observations/7679338,,#ffae4f,,65
"wrinkle-leaved goldenrod, rough-stemmed goldenrod",Solidago rugosa,Asteraceae,herbaceous perennial,human observation,iNaturalist,Doug Weihrauch,"September 9, 2018",,-72.716487,42.312846,5,,,https://www.inaturalist.org/observations/16410603,,#ffae4f,,38
Indian grass,Sorghastrum nutans,Poaceae,perennial grass,preserved specimen,University of Kansas Ronald L. McGregor Herbarium,Harry E. Ahles,"September 4, 1973","Florence, North Maple Street",-72.671758,42.341609,748,,,https://www.gbif.org/occurrence/1457370013,,#ffae4f,,81
nodding ladies' tresses,Spiranthes cernua,Orchidaceae,herbaceous perennial,human observation,iNaturalist,Nicole,"September 7, 2017",,-72.661992,42.354495,64,This is one of the few orchids that have a fragrance.,,https://www.inaturalist.org/observations/7822105,,#ffae4f,,11
"blue wood aster, heart-leaved aster",Symphyotrichum cordifolium (Aster cordifolius),Asteraceae,herbaceous perennial,preserved specimen,Smith College Herbarium,Marjorie H. Sackett with Rick Kesseli,"October 9, 1973","Collected off C.N. Rd, on Transect V, NW side of Trolley Line.",-72.645011,42.302710,,,https://i.ibb.co/g7TyG34/marker-116-Symphyotrichum-cordifolium-Aster-cordifolius.jpg,,,#f47d36,,116
"blue wood aster, heart-leaved aster",Symphyotrichum cordifolium (Aster cordifolius),Asteraceae,herbaceous perennial,preserved specimen,Smith College Herbarium,W. E. Manning,"September 24, 1930","bank by Paradise Pond, Northampton",-72.640981,42.318873,,,https://i.ibb.co/NZcFkLg/marker-117-Symphyotrichum-cordifolium-Aster-cordifolius.jpg,,,#f47d36,,117
"rice button aster, bushy aster",Symphyotrichum dumosum (Aster dumosus),Asteraceae,herbaceous perennial,preserved specimen,Smith College Herbarium,Marjorie H. Sackett with Rick Kesseli,"August 28, 1973","Collected along Curtis Nook Rd, between Danks Rd and Old Sp. Rd.",-72.639175,42.297892,,,https://i.ibb.co/8NW4cMq/marker-119-Symphyotrichum-dumosum-Aster-dumosus.jpg,,,#f47d36,,119
"panicled aster, lance-leaved aster",Symphyotrichum lanceolatum (Aster paniculatus var. simplex),Asteraceae,herbaceous perennial,preserved specimen,Smith College Herbarium,W. E. Manning,"September 13, 1933","Hinckley St., Northampton",-72.661202,42.325691,,,https://i.ibb.co/vX3TnT4/marker-120-Aster-paniculatus-var-simplex.jpg,,,#f47d36,,120
"panicled aster, lance-leaved aster",Symphyotrichum lanceolatum var. lanceolatum,Asteraceae,herbaceous perennial,preserved specimen,University of Kansas Ronald L. McGregor Herbarium,Harry E. Ahles,"October 12, 1975","Northampton, on Damon Road, near jct of I-91",-72.626846,42.336903,610,,,https://www.gbif.org/occurrence/176886545,,#ffae4f,,103
calico aster,Symphyotrichum lateriflorum (Aster vimineus var. dubius),Asteraceae,herbaceous perennial,preserved specimen,Smith College Herbarium,W. E. Manning,"September 15, 1931",Florence Ice Co. pond,-72.686253,42.331429,,,https://i.ibb.co/tCwFzZh/marker-122-Aster-vimineus-var-dubius.jpg,,,#f47d36,,122
New England aster,Symphyotrichum novae-angliae,Asteraceae,herbaceous perennial,human observation,iNaturalist,Aaron Hulsey,"September 13, 2018",,-72.605283,42.310348,122,,,https://www.inaturalist.org/observations/16509972,,#ffae4f,,41
swamp aster,Symphyotrichum puniceum,Asteraceae,herbaceous perennial,human observation,iNaturalist,Doug Weihrauch,"September 9, 2018",,-72.716742,42.313171,5,,,https://www.inaturalist.org/observations/16410640,,#ffae4f,,37
small white aster,Symphyotrichum racemosum (Aster vimineus),Asteraceae,herbaceous perennial,preserved specimen,Smith College Herbarium,Marjorie H. Sackett with Rick Kesseli,"September 11, 1973","Collected along C.N. Rd, near P.M. Rd.",-72.647061,42.303089,,,https://i.ibb.co/ZH15mMb/marker-121-Aster-vimineus.jpg,,,#f47d36,,121
"American basswood, American linden",Tilia americana,Malvaceae,deciduous tree,human observation,iNaturalist,Nicole,"May 20, 2017",,-72.672502,42.352349,8,Honeybees visit basswood trees for the flowers' nectar.,,https://www.inaturalist.org/observations/6289811,,#ffae4f,,25
poison ivy,Toxicodendron radicans,Anacardiaceae,deciduous shrub or vine,human observation,iNaturalist,Nicole,"July 7, 2017",,-72.671172,42.353516,89,The toxic oil urushiol causes a rash.,,https://www.inaturalist.org/observations/6958365,,#ffae4f,,22
poison sumac,Toxicodendron vernix,Anacardiaceae,deciduous shrub or tree,human observation,iNaturalist,Aaron Hulsey,"July 5, 2018",,-72.720192,42.355983,5,"The sap causes a rash. Bobwhites, pheasants, and grouse eat the fruits in winter.",,https://www.inaturalist.org/observations/14080452,,#ffae4f,,56
water chestnut,Trapa natans,Lythraceae,herbaceous annual,occurrence,United States Geological Survey,,2004,Oxbow Proper,-72.6375,42.2877,,Water chestnut is invasive in North America.,,https://www.gbif.org/occurrence/1897004850,https://nas.er.usgs.gov/queries/SpecimenViewer.aspx?SpecimenID=1397026,#ffae4f,,52
water chestnut,Trapa natans,Lythraceae,herbaceous annual,occurrence,United States Geological Survey,,"July 1, 2013",Fitzgerald Lake,-72.6665,42.3523,,Water chestnut is invasive in North America.,,https://www.gbif.org/occurrence/1897007448,https://nas.er.usgs.gov/queries/SpecimenViewer.aspx?SpecimenID=1397665,#ffae4f,,48
water chestnut,Trapa natans,Lythraceae,herbaceous annual,occurrence,United States Geological Survey,,"July 1, 2013",Triangle Pond (Barrow Pitts),-72.616,42.3031,,Water chestnut is invasive in North America.,,https://www.gbif.org/occurrence/1897005320,https://nas.er.usgs.gov/queries/SpecimenViewer.aspx?SpecimenID=1397430,#ffae4f,,50
water chestnut,Trapa natans,Lythraceae,herbaceous annual,occurrence,United States Geological Survey,,"July 1, 2013",Hulbert Pond,-72.644,42.2918,,Water chestnut is invasive in North America.,,https://www.gbif.org/occurrence/1897004995,https://nas.er.usgs.gov/queries/SpecimenViewer.aspx?SpecimenID=1397390,#ffae4f,,51
water chestnut,Trapa natans,Lythraceae,herbaceous annual,occurrence,United States Geological Survey,,"July 1, 2013",Danks Pond,-72.6416,42.2873,,Water chestnut is invasive in North America.,,https://www.gbif.org/occurrence/1897004825,https://nas.er.usgs.gov/queries/SpecimenViewer.aspx?SpecimenID=1397439,#ffae4f,,53
red trillium,Trillium erectum,Melanthiaceae,herbaceous perennial,human observation,iNaturalist,Nicole,"May 12, 2017",,-72.671943,42.353071,6,"The unpleasant smelling flowers attract carrion flies, which act as pollinators.",,https://www.inaturalist.org/observations/6181890,,#ffae4f,,28
red trillium,Trillium erectum,Melanthiaceae,herbaceous perennial,human observation,iNaturalist,lomastomas,"April 23, 2016",,-72.653867,42.313089,10,"The unpleasant smelling flowers attract carrion flies, which act as pollinators.",,http://www.inaturalist.org/observations/3030940,,#ffae4f,,68
eastern hemlock,Tsuga canadensis,Pinaceae,evergreen tree,human observation,iNaturalist,Christopher Tracey,"March 6, 2016",,-72.625862,42.315872,,"Eastern hemlock populations are declining due to hemlock woolly adelgid, an invasive insect species.",,http://www.inaturalist.org/observations/2763092,,#ffae4f,,69
narrow-leaved cattail,Typha angustifolia,Typhaceae,herbaceous perennial,human observation,iNaturalist,Nicole,"August 17, 2017",,-72.669456,42.352842,6,"The young shoots, the flowers, and the peeled rhizomes are all edible.",,https://www.inaturalist.org/observations/7534101,,#ffae4f,,17
sessile bellwort,Uvularia sessilifolia,Colchicaceae,herbaceous perennial,human observation,iNaturalist,Aaron Hulsey,"April 29, 2016",,-72.641913,42.301037,,,,http://www.inaturalist.org/observations/3082736,,#ffae4f,,54
mapleleaf viburnum,Viburnum acerifolium,Viburnaceae,deciduous shrub,human observation,iNaturalist,Nicole,"September 7, 2017",,-72.66333,42.355876,16,,,https://www.inaturalist.org/observations/7821059,,#ffae4f,,13
marsh violet,Viola palustris (Viola pallens),Violaceae,herbaceous perennial,preserved specimen,Denver Botanic Gardens Kathryn Kalmbach Herbarium,Marion W. Porter,"May 7, 1934","Roberts Hill, Leeds.",-72.706284,42.346336,523,,https://i.ibb.co/tQ7syhg/marker-84-Viola-pallens.png,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3822832,https://www.gbif.org/occurrence/2242414146,#ffae4f,,84
